"externalId";"title";"slug";"categorySlug";"basePrice";"priceFrom";"variants";"shortDescription";"imagePaths";"telegramUrl"
"telegram-44";"Кришка бункерного магазина АК";"kryshka-bunkernogo-magazyna-ak";"strajkbol";"30";"false";"";"30 грн";"images/telegram/44-01.jpg | images/telegram/44-02.jpg";"https://t.me/naradaprint/44"
"telegram-47";"Двоколірний настільний органайзер";"dvokolirnyi-nastilnyi-organaizer";"dekor";"335";"false";"";"335 грн";"images/telegram/47-01.jpg | images/telegram/47-02.jpg";"https://t.me/naradaprint/47"
"telegram-50";"Муляж гранати M67";"muliazh-granaty-m67";"strajkbol";"275";"false";"";"Повністю розбирається";"images/telegram/50-01.jpg | images/telegram/50-02.jpg";"https://t.me/naradaprint/50"
"telegram-52";"Підставка під Glock 17 Gen 4/5";"pidstavka-glock-17";"strajkbol";"220";"false";"";"Акуратна та мінімалістична";"images/telegram/52-01.jpg | images/telegram/52-02.jpg | images/telegram/52-03.jpg";"https://t.me/naradaprint/52"
"telegram-55";"Кріплення GoPro на шолом FAST";"kriplennia-gopro-fast";"strajkbol";"110";"false";"";"Міцний матеріал – витримує суворі умови використання.";"images/telegram/55-01.jpg | images/telegram/55-02.jpg | images/telegram/55-03.jpg";"https://t.me/naradaprint/55"
"telegram-58";"П’ятка магазина Glock GBB";"piatka-magazyna-glock-gbb";"strajkbol";"75";"false";"";"Міцна та надійна – надійно фіксується без люфтів.";"images/telegram/58-01.jpg | images/telegram/58-02.jpg | images/telegram/58-03.jpg";"https://t.me/naradaprint/58"
"telegram-61";"Підставка під CZ 75";"pidstavka-cz-75";"strajkbol";"240";"false";"";"Стильна та мінімалістична";"images/telegram/61-01.jpg | images/telegram/61-02.jpg | images/telegram/61-03.jpg";"https://t.me/naradaprint/61"
"telegram-64";"Аксесуари для IKEA SKÅDIS";"aksesuary-ikea-skadis";"dekor";"";"false";"Ваза: 300 | Підставка під клавіатуру: 35 | Підставка під навушники: 85 | Підставка під павербанк: 180 | Підставка під колонку: 30 | Підставка під термометр: 35 | Підставка під геймпад: 230";"Зручні та стильні, на фото – приклади";"images/telegram/64-01.jpg | images/telegram/64-02.jpg | images/telegram/64-03.jpg | images/telegram/64-04.jpg | images/telegram/64-05.jpg | images/telegram/64-06.jpg | images/telegram/64-07.jpg";"https://t.me/naradaprint/64"
"telegram-71";"Глушник PBS-1 для АК/AR";"glushnyk-pbs-1-ak-ar";"strajkbol";"325";"false";"";"Класичний дизайн, різьба 14 мм, сумісний з АК і AR-платформами.";"images/telegram/71-01.jpg | images/telegram/71-02.jpg";"https://t.me/naradaprint/71"
"telegram-73";"Кріплення GoPro Gen II";"kriplennia-gopro-gen-2";"strajkbol";"155";"false";"";"Надійний механізм, міцна конструкція та 100% заповнення для максимальної стабільності.";"images/telegram/73-01.jpg | images/telegram/73-02.jpg | images/telegram/73-03.jpg";"https://t.me/naradaprint/73"
"telegram-76";"RIS-планка M-LOK — Picatinny";"ris-planka-m-lok-picatinny";"strajkbol";"90";"false";"";"Надійна та універсальна планка для кріплення аксесуарів на зброю.";"images/telegram/76-01.jpg | images/telegram/76-02.jpg";"https://t.me/naradaprint/76"
"telegram-78";"Райзер під коліматор";"raizer-pid-kolimator";"strajkbol";"250";"false";"";"Надійна конструкція";"images/telegram/78-01.jpg | images/telegram/78-02.jpg | images/telegram/78-03.jpg";"https://t.me/naradaprint/78"
"telegram-82";"Стенд для HyperX QuadCast";"stend-hyperx-quadcast";"inshe";"380";"false";"";"Збірна модель";"images/telegram/82-01.jpg | images/telegram/82-02.jpg | images/telegram/82-03.jpg";"https://t.me/naradaprint/82"
"telegram-85";"Підставка під відеокарту";"pidstavka-pid-videokartu";"inshe";"";"false";"Менша: 60 | Більша: 80";"Різні кольори та розміри";"images/telegram/85-01.jpg | images/telegram/85-02.jpg";"https://t.me/naradaprint/85"
"telegram-87";"Колекція Formula 1";"kolektsiia-formula-1";"dekor";"";"false";"Календар Гран-прі 2026: 600 | Гоночний трек: 200 | Підставка LEGO Speed Champions: 120";"Для себе або для людини, яка живе автоспортом";"images/telegram/87-01.jpg | images/telegram/87-02.jpg | images/telegram/87-03.jpg | images/telegram/87-04.jpg | images/telegram/87-05.jpg | images/telegram/87-06.jpg | images/telegram/87-07.jpg | images/telegram/87-08.jpg";"https://t.me/naradaprint/87"
